Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad,Descuento,Ganancia,
10139,US-2021-165939,20/10/21,24/10/21,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MOB-SI-10002611,Mobiliario,Sillas,"Harbour Creations Silla plegable, Rojo",783.12,3,0.6,-1076.88,
10140,US-2021-165939,20/10/21,24/10/21,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MAT-CA-10004233,Material de oficina,Carpetas,"Avery Separadores, Transparente",77.2,5,0.6,-44.8,
10141,US-2021-165939,20/10/21,24/10/21,Estándar,AR-11335,Adriana Rocha,Pequeña empresa,Pilar,Alagoas,Brasil,Sur,MOB-SI-10000569,Mobiliario,Sillas,"Office Star Silla de playa, Ajustable",772.4,5,0.6,-367.6,
10148,US-2022-126515,18/12/22,20/12/22,Rápido,FV-14740,Felipe Vélez,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-AR-10000946,Material de oficina,Arte,"Sanford Lienzos, Azul",673.6,5,0.6,-977.4,
10149,US-2022-126515,18/12/22,20/12/22,Rápido,FV-14740,Felipe Vélez,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-SO-10002557,Material de oficina,Sobres,"Cameo Paquetes, 50",610.56,6,0.6,-565.44,
10150,US-2020-129546,12/07/20,12/07/20,Mismo día,VC-21535,Victoria Chavarría,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AL-10001876,Material de oficina,Almacenamiento,"Tenex Bandejas, Industrial",1020.88,7,0.6,-537.32,
10151,US-2020-129546,12/07/20,12/07/20,Mismo día,VC-21535,Victoria Chavarría,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AR-10003061,Material de oficina,Arte,"Binney & Smith Lienzos, Metal",841.92,6,0.6,-505.68,
10167,US-2021-150574,25/06/21,27/06/21,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-LI-10002241,Mobiliario,Librerías,"Safco Librería, Metal",1979.2,5,0.6,-1830.8,
10168,US-2021-150574,25/06/21,27/06/21,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-EL-10002343,Material de oficina,Electrodomésticos,"Cuisinart Microondas, Negro",4446.24,6,0.6,-4668.96,
10169,US-2021-150574,25/06/21,27/06/21,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10003453,Tecnología,Accesorios,"Belkin Teclado, Blanco",1481.6,10,0.6,-1668.4,
10170,US-2021-150574,25/06/21,27/06/21,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-LI-10002548,Mobiliario,Librerías,"Sauder Conjunto de estantes, Blanco",1576.8,3,0.6,-1458.6,
10171,US-2021-150574,25/06/21,27/06/21,Rápido,TA-21175,Teodora Atencio,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-AL-10003173,Material de oficina,Almacenamiento,"Smead Caja, Tamaño completo",57.6,2,0.6,-53.6,
10187,US-2021-165785,16/11/21,20/11/21,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-ET-10000741,Material de oficina,Etiquetas,"Hon Etiquetas extraíbles, Blanco",82.08,3,0.6,-94.92,
10188,US-2021-165785,16/11/21,20/11/21,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10004792,Material de oficina,Suministros,"Elite Regla, Acero",316.8,9,0.6,-302.4,
10189,US-2021-165785,16/11/21,20/11/21,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-GR-10004275,Material de oficina,Grapas,"OIC Grapas, Tamaños variados",46.88,2,0.6,-19.12,
10190,US-2021-165785,16/11/21,20/11/21,Rápido,PS-19870,Paola Solís,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SO-10002307,Material de oficina,Sobres,"Kraft Sobre de hebilla, Rojo",167.2,5,0.6,-213.8,
10229,US-2019-162015,26/02/19,03/03/19,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-TE-10001916,Tecnología,Teléfonos,"Samsung Teléfono de oficina, Tamaño completo",709.44,4,0.6,-514.56,
10230,US-2019-162015,26/02/19,03/03/19,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10000557,Tecnología,Accesorios,"Memorex Ratón, Blanco",207.84,3,0.6,-125.16,
10231,US-2019-162015,26/02/19,03/03/19,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-SI-10004340,Mobiliario,Sillas,"Harbour Creations Taburete, Rojo",1440.96,3,0.6,-1116.84,
10232,US-2019-162015,26/02/19,03/03/19,Estándar,AF-10195,Adela Feliciano,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10004950,Material de oficina,Suministros,"Acme Recortadora, Rectangular",220.16,2,0.6,-313.84,
10235,US-2019-117702,17/08/19,20/08/19,Urgente,AR-10420,Azucena Rodríguez,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-TE-10003987,Tecnología,Teléfonos,"Nokia Base de audio, Tamaños variados",904.48,2,0.6,-384.72,
10236,US-2019-117702,17/08/19,20/08/19,Urgente,AR-10420,Azucena Rodríguez,Empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,TEC-AC-10004316,Tecnología,Accesorios,"Belkin Teclado, Programable",632,4,0.6,-743.2,
10243,US-2022-121293,26/09/22,28/09/22,Urgente,JA-16990,Julieta Almanza,Empresa,Pilar,Alagoas,Brasil,Sur,MAT-AL-10002238,Material de oficina,Almacenamiento,"Rogers Archivador móvil, Tamaño completo",755.36,2,0.6,-717.84,
10271,US-2020-114860,27/11/20,01/12/20,Estándar,ÁC-10915,Ángel Chávez,Cliente,São Miguel dos Campos,Alagoas,Brasil,Sur,MAT-SU-10002721,Material de oficina,Suministros,"Acme Cizallas, Industrial",549.76,4,0.6,-467.84,
10286,US-2020-106523,11/02/20,15/02/20,Estándar,OG-19795,Olvido Godoy,Pequeña empresa,São Miguel dos Campos,Alagoas,Brasil,Sur,MOB-SI-10001930,Mobiliario,Sillas,"Harbour Creations Silla de playa, Rojo",492.96,3,0.6,-407.04,
1718,MX-2020-110751,25/12/20,31/12/20,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MAT-PA-10004917,Material de oficina,Papel,"Green Bar Material de oficina, Multicolor",2324,7,0,324.8,
1719,MX-2020-110751,25/12/20,31/12/20,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MAT-AR-10004686,Material de oficina,Arte,"Binney & Smith Bolígrafos, Azul",159.2,2,0,9.2,
1720,MX-2020-110751,25/12/20,31/12/20,Estándar,AD-10735,Alejandra Duarte,Cliente,Macapá,Amapá,Brasil,Sur,MOB-ME-10003239,Mobiliario,Mesas,"Bevis Mesa de café, Rectangular",5052,3,0.2,-505.2,
5469,MX-2022-161641,25/11/22,28/11/22,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,TEC-TE-10004444,Tecnología,Teléfonos,"Samsung Teléfono inteligente, Azul",4108,5,0,1273,
5470,MX-2022-161641,25/11/22,28/11/22,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MAT-CA-10002183,Material de oficina,Carpetas,"Acco Separadores, Reciclado",238.4,4,0,52,
5471,MX-2022-161641,25/11/22,28/11/22,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MOB-SI-10000887,Mobiliario,Sillas,"Harbour Creations Sillón, Negro",15706,5,0,4868,
5472,MX-2022-161641,25/11/22,28/11/22,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MAT-SU-10004452,Material de oficina,Suministros,"Kleencut Regla, Acero",86.4,1,0,29.2,
5473,MX-2022-161641,25/11/22,28/11/22,Rápido,BH-11935,Begoña Hinojosa,Cliente,Macapá,Amapá,Brasil,Sur,MOB-SI-10001568,Mobiliario,Sillas,"Office Star Estora, 2",2269,5,0,952,
6517,MX-2019-130400,29/12/19,01/01/20,Urgente,CB-12445,Ciro Becerra,Cliente,Macapá,Amapá,Brasil,Sur,TEC-CO-10004906,Tecnología,Copiadoras,"Canon Tinta, Color",6920.3316,7,0.002,3105.3316,
8728,MX-2020-117919,29/11/20,03/12/20,Estándar,UR-21355,Unai Rubalcaba,Empresa,Macapá,Amapá,Brasil,Sur,MOB-ME-10001735,Mobiliario,Mesas,"Hon Mesa de madera, Blanco",14227.2,5,0.2,1600.2,
8729,MX-2020-117919,29/11/20,03/12/20,Estándar,UR-21355,Unai Rubalcaba,Empresa,Macapá,Amapá,Brasil,Sur,MAT-SU-10002302,Material de oficina,Suministros,"Stiletto Regla, Acero",285.6,3,0,88.2,
9973,MX-2020-106243,23/06/20,28/06/20,Estándar,LL-17845,Lidia Laureano,Cliente,Macapá,Amapá,Brasil,Sur,MOB-ME-10002060,Mobiliario,Mesas,"Hon Mesa redonda, Montada",5518.72,2,0.2,689.52,
629,MX-2022-129154,17/12/22,21/12/22,Rápido,MA-18685,María Acosta,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-SU-10002302,Material de oficina,Suministros,"Stiletto Regla, Acero",95.2,1,0,29.4,
1063,US-2021-132276,20/02/21,25/02/21,Rápido,AY-11440,Asunción Ybarra,Cliente,Parintins,Amazonas,Brasil,Sur,MOB-MO-10001975,Mobiliario,Mobiliario,"Deflect-O Bombilla, Negro",202.56,4,0.6,-51.04,
1626,MX-2019-118983,17/08/19,18/08/19,Urgente,AB-10180,Adela Blanco,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10004976,Mobiliario,Sillas,"Hon Taburete, Negro",5374,5,0,1450,
1627,MX-2019-118983,17/08/19,18/08/19,Urgente,AB-10180,Adela Blanco,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10000771,Mobiliario,Sillas,"Hon Mecedora, Ajustable",2662.2,3,0,52.8,
1836,US-2019-126011,29/09/19,04/10/19,Estándar,IS-16585,Izaskun Sosa,Empresa,Parintins,Amazonas,Brasil,Sur,MOB-SI-10001686,Mobiliario,Sillas,"Hon Mecedora, 2",1062.96,3,0.6,-1116.24,
2617,MX-2021-147333,20/09/21,23/09/21,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AL-10004832,Material de oficina,Almacenamiento,"Tenex Casilleros, Tamaño completo",6806,5,0,1293,
2618,MX-2021-147333,20/09/21,23/09/21,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-ET-10000458,Material de oficina,Etiquetas,"Novimex Etiquetas de envío, Duradero",454.8,6,0,99.6,
2619,MX-2021-147333,20/09/21,23/09/21,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AR-10002052,Material de oficina,Arte,"Stanley Sacapuntas, Al por mayor",167,1,0,75,
2620,MX-2021-147333,20/09/21,23/09/21,Urgente,SP-20770,Sergio Porras,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-SO-10003619,Material de oficina,Sobres,"Jiffy Sobre de hebilla, Plateado",509.6,7,0,25.2,
2977,MX-2019-107195,31/08/19,07/09/19,Estándar,SN-20875,Santiago Núñez,Cliente,Manaus,Amazonas,Brasil,Sur,TEC-TE-10004109,Tecnología,Teléfonos,"Samsung Teléfono de oficina, Tamaño completo",2217,5,0,687,
3989,MX-2022-161431,14/11/22,18/11/22,Rápido,IR-16360,Irati Rodríguez,Cliente,Coari,Amazonas,Brasil,Sur,MAT-CA-10000941,Material de oficina,Carpetas,"Ibico Separadores, Duradero",208.2,3,0,18.6,
3990,MX-2022-161431,14/11/22,18/11/22,Rápido,IR-16360,Irati Rodríguez,Cliente,Coari,Amazonas,Brasil,Sur,MAT-CA-10002699,Material de oficina,Carpetas,"Acco Cubierta de carpeta, Reciclado",729.6,8,0,65.6,
4184,MX-2021-154144,01/11/21,06/11/21,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-PA-10003921,Material de oficina,Papel,"Xerox Papel de tipo pergamino, Reciclado",351.2,4,0,20.8,
4185,MX-2021-154144,01/11/21,06/11/21,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-ET-10004182,Material de oficina,Etiquetas,"Hon Etiquetas redondas, Blanco",355.2,8,0,148.8,
4186,MX-2021-154144,01/11/21,06/11/21,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-SI-10002059,Mobiliario,Sillas,"SAFCO Silla de playa, Rojo",659.2,2,0,131.6,
4187,MX-2021-154144,01/11/21,06/11/21,Estándar,KÁ-17245,Katia Ávila,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-MO-10001014,Mobiliario,Mobiliario,"Rubvermaid Bombilla, Premium",814.8,7,0,260.4,
5605,MX-2021-166471,16/03/21,20/03/21,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-SU-10001629,Material de oficina,Suministros,"Kleencut Cizallas, Rectangular",2028.6,7,0,791,
5606,MX-2021-166471,16/03/21,20/03/21,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MOB-SI-10001965,Mobiliario,Sillas,"Office Star Mecedora, 2",3817.6,4,0,877.6,
5607,MX-2021-166471,16/03/21,20/03/21,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,TEC-CO-10003473,Tecnología,Copiadoras,"Brother Fotocopiadora personal, Digital",1896.5992,2,0.002,832.1992,
5608,MX-2021-166471,16/03/21,20/03/21,Estándar,AA-11005,Andrés Arellano,Pequeña empresa,Manaus,Amazonas,Brasil,Sur,MAT-ET-10001751,Material de oficina,Etiquetas,"Novimex Etiquetas para documentos legales, Blanco",139.6,2,0,32,
5684,MX-2020-120789,06/07/20,12/07/20,Estándar,AL-11215,Anya Leyva,Pequeña empresa,Manacapuru,Amazonas,Brasil,Sur,MAT-PA-10000227,Material de oficina,Papel,"Xerox Agenda, Premium",679,5,0,258,
7001,MX-2019-152366,07/10/19,11/10/19,Estándar,AE-11320,Ares Espinosa,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-SI-10002369,Mobiliario,Sillas,"Novimex Silla de playa, Negro",2031.4,7,0,893.2,
7650,MX-2021-115189,16/08/21,20/08/21,Estándar,GV-15430,Germán Vallejo,Cliente,Manaus,Amazonas,Brasil,Sur,MOB-LI-10001117,Mobiliario,Librerías,"Dania Librería clásica, Negro",8242.2,3,0,3049.2,
7696,MX-2022-160311,04/07/22,08/07/22,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,MAT-AR-10002284,Material de oficina,Arte,"Boston Bolígrafos, Al por mayor",289.8,3,0,8.4,
7697,MX-2022-160311,04/07/22,08/07/22,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,TEC-AC-10002787,Tecnología,Accesorios,"Logitech Tarjeta de memoria, Programable",4894.4,7,0,439.6,
7698,MX-2022-160311,04/07/22,08/07/22,Estándar,LC-17965,Lola Crespo,Empresa,Manaus,Amazonas,Brasil,Sur,TEC-AC-10003462,Tecnología,Accesorios,"Memorex Router, Blanco",13014.4,8,0,5985.6,
8620,MX-2020-149307,13/11/20,18/11/20,Estándar,UR-21400,Unai Reynoso,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-SO-10000158,Material de oficina,Sobres,"Kraft Sobre de hebilla, Reciclado",156,3,0,58.8,
9184,MX-2019-147018,13/10/19,17/10/19,Rápido,OL-19570,Odiseo Liébanas,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-GR-10002614,Material de oficina,Grapas,"Advantus Grapadoras, Al por mayor",900.2,7,0,242.2,
9273,MX-2019-115644,18/01/19,23/01/19,Estándar,WN-21790,Waldo Nazario,Cliente,Manaus,Amazonas,Brasil,Sur,MAT-GR-10003868,Material de oficina,Grapas,"OIC Grapadoras, Paquete de 12",384,3,0,61.2,
3261,US-2020-156146,13/09/20,19/09/20,Estándar,LA-17905,Leopoldo Archuleta,Empresa,Chimbote,Ancash,Perú,Sur,MAT-SO-10003921,Material de oficina,Sobres,"Ames Sobres de uso interno, 50",902.4,5,0.4,-105.6,
4576,US-2022-123288,19/11/22,23/11/22,Estándar,LS-18100,Luján Salinas,Cliente,Chimbote,Ancash,Perú,Sur,TEC-TE-10001255,Tecnología,Teléfonos,"Nokia Teléfono de oficina, Tamaño completo",1594.08,6,0.4,-478.32,
7577,US-2020-153241,24/06/20,30/06/20,Estándar,AP-11515,Aniceto Puertas,Cliente,Huaraz,Ancash,Perú,Sur,MAT-CA-10001444,Material de oficina,Carpetas,"Wilson Jones Separadores, Duradero",190.8,6,0.4,-57.6,
50,MX-2022-100783,06/05/22,10/05/22,Estándar,MR-18205,Mafalda Rojo,Empresa,Medellín,Antioquia,Colombia,Sur,MAT-GR-10003651,Material de oficina,Grapas,"Accos Clips, Paquete de 12",449,5,0,85,
69,MX-2021-164021,24/07/21,30/07/21,Estándar,AR-11140,Antonio Rocha,Cliente,Bello,Antioquia,Colombia,Sur,MOB-LI-10002871,Mobiliario,Librerías,"Sauder Librería clásica, Negro",8746.8,3,0,4110.6,
